Using  cpu
IQN(
  (head): Linear(in_features=4, out_features=512, bias=True)
  (cos_embedding): Linear(in_features=64, out_features=512, bias=True)
  (ff_1): Linear(in_features=512, out_features=512, bias=True)
  (ff_2): Linear(in_features=512, out_features=2, bias=True)
)

Episode 124	Frame 2943 	Average100 Score: 23.15
Episode 125	Frame 2977 	Average100 Score: 23.22
Episode 126	Frame 2993 	Average100 Score: 23.17
Episode 127	Frame 3034 	Average100 Score: 23.29
Episode 128	Frame 3048 	Average100 Score: 23.33
Episode 129	Frame 3094 	Average100 Score: 23.65
Episode 130	Frame 3106 	Average100 Score: 23.66
Episode 131	Frame 3119 	Average100 Score: 23.66
Episode 132	Frame 3133 	Average100 Score: 23.63
Episode 133	Frame 3142 	Average100 Score: 23.63
Episode 134	Frame 3179 	Average100 Score: 23.69
Episode 135	Frame 3189 	Average100 Score: 23.63
Episode 136	Frame 3261 	Average100 Score: 24.14
Episode 137	Frame 3303 	Average100 Score: 24.42
Episode 138	Frame 3318 	Average100 Score: 24.15
Episode 139	Frame 3332 	Average100 Score: 24.07
Episode 140	Frame 3347 	Average100 Score: 24.06
Episode 141	Frame 3378 	Average100 Score: 24.24
Episode 142	Frame 3397 	Average100 Score: 24.31
Episode 143	Frame 3424 	Average100 Score: 24.42
Episode 144	Frame 3439 	Average100 Score: 24.34
Episode 145	Frame 3454 	Average100 Score: 23.81
Episode 146	Frame 3474 	Average100 Score: 23.17
Episode 147	Frame 3499 	Average100 Score: 23.32
Episode 148	Frame 3516 	Average100 Score: 23.36
Episode 149	Frame 3541 	Average100 Score: 23.43
Episode 150	Frame 3569 	Average100 Score: 23.22
Episode 151	Frame 3583 	Average100 Score: 23.18
Episode 152	Frame 3647 	Average100 Score: 23.70
Episode 153	Frame 3662 	Average100 Score: 23.71
Episode 154	Frame 3687 	Average100 Score: 23.84
Episode 155	Frame 3705 	Average100 Score: 23.76
Episode 156	Frame 3725 	Average100 Score: 23.82
Episode 157	Frame 3744 	Average100 Score: 23.92
Episode 158	Frame 3764 	Average100 Score: 23.89
Episode 159	Frame 3776 	Average100 Score: 23.55
Episode 160	Frame 3788 	Average100 Score: 23.52
Episode 161	Frame 3824 	Average100 Score: 23.54
Episode 162	Frame 3849 	Average100 Score: 23.60
Episode 163	Frame 3896 	Average100 Score: 23.64
Episode 164	Frame 3910 	Average100 Score: 23.50
Episode 165	Frame 3929 	Average100 Score: 23.54
Episode 166	Frame 3945 	Average100 Score: 23.52
Episode 167	Frame 3959 	Average100 Score: 23.53
Episode 168	Frame 3976 	Average100 Score: 23.44
Episode 169	Frame 3994 	Average100 Score: 23.42
Episode 170	Frame 4014 	Average100 Score: 23.50
Episode 171	Frame 4024 	Average100 Score: 23.07
Episode 172	Frame 4042 	Average100 Score: 22.89
Episode 173	Frame 4074 	Average100 Score: 22.91
Episode 174	Frame 4083 	Average100 Score: 22.91
Episode 175	Frame 4094 	Average100 Score: 22.86
Episode 176	Frame 4110 	Average100 Score: 22.87
